date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-25,Pavia,1578,79.0,14.619450160628897,18.056210596219774
2020-03-25,Cremona,3156,95.0,26.692291266282297,35.00101952511002
2020-03-25,Mantova,1176,83.0,20.397179782708598,22.538708124782993
2020-03-25,Lecco,1076,61.0,18.211075319216267,21.239146391029742
2020-03-25,Lodi,1884,24.0,10.55353279510316,21.10706559020632
2020-03-25,Monza e della Brianza,1587,133.0,15.283965740933334,16.449552816772503
2020-03-26,Varese,502,34.0,3.842346272246055,6.877476941079072
2020-03-26,Como,762,56.0,9.370158054487469,11.99953914120589
2020-03-26,Sondrio,325,41.0,22.72412359706249,17.18165442704725
2020-03-26,Milano,6922,848.0,25.969833955374146,14.14428456498056
2020-03-26,Bergamo,7458,386.0,34.833583906523266,29.792898744624445
2020-03-26,Brescia,6931,334.0,26.60428201494778,30.677991579255444
2020-03-26,Pavia,1685,107.0,19.80102743275053,17.659661315190057
2020-03-26,Cremona,3370,214.0,60.12789822088854,34.80032560581466
2020-03-26,Mantova,1250,74.0,18.185437396631762,22.64402919078665
2020-03-26,Lecco,1159,83.0,24.779004122868038,21.708284162719156
2020-03-26,Lodi,1968,84.0,36.93736478286106,17.90331456312143
2020-03-26,Monza e della Brianza,1750,163.0,18.731476810316792,18.994144320365052
2020-03-27,Varese,711,209.0,23.619128555865455,7.184218870376027
2020-03-27,Como,816,54.0,9.035509552541487,11.473662923862205
2020-03-27,Sondrio,362,37.0,20.507135929056393,18.84439517805182
2020-03-27,Milano,7469,547.0,16.751767893384034,14.656156292200704
2020-03-27,Bergamo,8060,602.0,54.3259521029197,28.27166895151943
2020-03-27,Brescia,7305,374.0,29.790423573624167,26.262909705089598
2020-03-27,Pavia,1712,27.0,4.996520940974433,15.65047829130616
2020-03-27,Cremona,3496,126.0,35.40240736370073,34.63977047037837
2020-03-27,Mantova,1398,148.0,36.370874793263525,22.187637904770796
2020-03-27,Lecco,1210,51.0,15.22565313573819,21.452390832706747
2020-03-27,Lodi,2006,38.0,16.709760258913338,16.961034849272934
2020-03-27,Monza e della Brianza,1948,198.0,22.753573057930826,20.22539827371629
2020-03-28,Varese,768,57.0,6.4415805152360335,7.1519302462395045
2020-03-28,Como,903,87.0,14.557209834650173,11.139014421916224
2020-03-28,Sondrio,388,26.0,14.410419842039628,17.18165442704725
2020-03-28,Milano,7783,314.0,9.616188516494672,14.043660208347543
2020-03-28,Bergamo,8349,289.0,26.080066707215604,26.75043915841442
2020-03-28,Brescia,7678,373.0,29.71077003465725,23.5433103032194
2020-03-28,Pavia,1877,165.0,30.5342946392882,16.760816278189367
2020-03-28,Cremona,3605,109.0,30.625892084471268,32.43213735812947
2020-03-28,Mantova,1484,86.0,21.134427244734212,20.88867809072567
2020-03-28,Lecco,1316,106.0,31.64547514486761,19.4052441926075
2020-03-28,Lodi,2029,23.0,10.113802261973863,16.08157378301434
2020-03-28,Monza e della Brianza,2086,138.0,15.858550919163909,16.548053133040604
2020-03-29,Varese,812,44.0,4.972448117024306,7.571682360014283
2020-03-29,Como,1014,111.0,18.57299185800195,10.78046245554553
2020-03-29,Sondrio,422,34.0,18.844395178051823,15.83562620004355
2020-03-29,Milano,8329,546.0,16.721143089191372,15.08490355089792
2020-03-29,Bergamo,8527,178.0,16.063155272956323,25.358127144386103
2020-03-29,Brescia,8013,335.0,26.683935553914694,22.769533067540852
2020-03-29,Pavia,1974,97.0,17.950464121278515,15.914844478659303
2020-03-29,Cremona,3762,157.0,44.11252346111917,31.50894532937083
2020-03-29,Mantova,1550,66.0,16.219444164563463,19.659932320682984
2020-03-29,Lecco,1381,65.0,19.405244192607498,18.76551086757648
